#number,Node1,Node2,Length,Width
519,289,309,70,3
520,290,301,38,3
521,290,388,73,3
522,291,388,36,3
523,292,293,18,3
524,292,294,7,3
525,294,297,5,3
526,295,310,27,3
527,295,312,75,3
528,296,304,38,3
529,297,300,94,3
530,298,377,30,3
531,299,315,17,3
532,299,314,94,3
533,300,314,51,3
534,301,302,31,3
535,301,303,46,3
536,303,306,36,3
537,303,307,236,3
538,304,376,26,3
539,305,319,20,3
540,305,377,63,3
541,306,308,69,3
542,307,320,104,3
543,307,333,55,3
544,308,320,56,3
545,308,321,77,3
546,309,310,74,3
547,309,311,78,3
548,310,313,77,3
549,311,321,15,3
550,311,313,50,3
551,312,419,87,3
552,312,326,56,3
553,313,330,51,3
554,315,316,144,3
555,315,317,41,3
556,316,318,84,3
557,316,319,25,3
558,317,376,33,3
559,318,322,71,3
560,318,378,25,3
561,319,376,68,3
562,319,378,76,3
563,320,325,79,3
564,321,325,54,3
565,322,323,6,3
566,323,387,36,3
567,324,387,45,3
568,325,330,62,3
569,326,327,87,3
570,326,328,84,3
571,328,329,130,3
572,328,330,41,3
573,329,345,84,3
574,329,339,23,3
575,331,336,48,3
576,331,337,87,3
577,332,337,35,3
578,332,343,18,3
579,332,345,212,3
580,333,335,85,3
581,334,346,38,3
582,334,355,158,3
583,335,340,45,3
584,335,341,31,3
585,336,338,88,3
586,336,339,45,3
587,337,338,48,3
588,338,339,130,3
589,340,344,110,3
590,340,345,3,3
591,341,346,38,3
592,341,347,102,3
593,342,348,104,3
594,342,351,103,3
595,343,351,14,3
596,343,344,100,3
597,344,417,110,3
598,344,363,154,3
599,346,352,135,3
600,347,352,52,3
601,347,353,30,3
602,348,349,49,3
603,348,350,180,3
604,349,354,51,3
605,349,351,147,3
606,350,360,6,3
607,350,354,94,3
608,350,359,92,3
609,351,421,205,3
610,352,355,27,3
611,352,415,39,3
612,353,362,10,3
613,353,363,5,3
614,354,361,9,3
615,354,421,150,3
616,355,356,42,3
617,355,357,91,3
618,356,370,23,3
619,356,415,27,3
620,356,366,77,3
621,357,365,39,3
622,357,366,17,3
623,358,359,14,3
624,359,360,89,3
625,360,361,95,3
626,361,364,138,3
627,362,367,63,3
628,362,415,46,3
629,363,369,72,3
630,364,420,7,3
631,364,421,20,3
632,365,372,163,3
633,365,373,25,3
634,366,370,99,3
635,367,368,12,3
636,367,369,5,3
637,368,371,68,3
638,368,416,41,3
639,370,371,14,3
640,371,416,27,3
641,372,373,92,3
642,374,414,41,3
643,377,378,47,3
644,379,387,37,3
645,380,381,43,3
646,381,382,63,3
647,382,383,39,3
648,382,386,44,3
649,383,384,74,3
650,384,385,47,3
651,390,391,28,3
652,392,396,4,3
653,393,396,68,3
654,393,395,43,3
655,394,395,53,3
656,394,396,26,3
657,394,397,27,3
658,395,398,27,3
659,396,434,10,3
660,397,398,57,3
661,397,399,29,3
662,399,401,28,3
663,399,402,23,3
664,400,402,36,3
665,402,408,16,3
666,403,404,36,3
667,403,405,31,3
668,403,406,38,3
669,404,407,34,3
670,408,434,76,3
671,415,416,41,3
672,417,420,19,3
673,417,421,6,3
674,424,436,10,3
675,427,435,98,3
676,429,431,27,3
677,429,432,198,3
678,430,431,55,3
679,431,432,31,3
680,436,438,9,3
