#number,Node1,Node2,Length,Width
599,379,380,32.0,3
600,382,505,80.0,3
601,387,388,37.0,3
602,390,400,59.0,3
603,391,392,31.0,3
604,391,393,37.0,3
605,395,497,92.0,3
606,395,499,119.0,3
607,398,399,86.0,3
608,404,406,17.0,3
609,404,405,24.0,3
610,412,417,41.0,3
611,413,414,38.0,3
612,413,415,94.0,3
613,414,415,62.0,3
614,414,416,5.0,3
615,415,417,19.0,3
616,416,419,17.0,3
617,416,420,48.0,3
618,417,418,35.0,3
619,420,421,97.0,3
620,423,522,47.0,3
621,423,523,16.0,3
622,425,426,17.0,3
623,425,427,28.0,3
624,426,428,17.0,3
625,426,432,35.0,3
626,427,437,20.0,3
627,427,443,18.0,3
628,427,444,27.0,3
629,430,431,54.0,3
630,430,543,18.0,3
631,432,433,16.0,3
632,433,434,6.0,3
633,433,435,57.0,3
634,436,437,9.0,3
635,436,438,10.0,3
636,436,439,275.0,3
637,437,442,23.0,3
638,438,440,58.0,3
639,438,441,41.0,3
640,440,482,77.0,3
641,440,485,59.0,3
642,443,445,35.0,3
643,443,445,27.0,3
644,447,449,24.0,3
645,450,451,20.0,3
646,453,454,84.0,3
647,454,455,60.0,3
648,454,456,10.0,3
649,455,457,18.0,3
650,455,458,10.0,3
651,455,459,107.0,3
652,456,458,63.0,3
653,457,460,14.0,3
654,457,461,108.0,3
655,458,460,13.0,3
656,458,464,29.0,3
657,459,474,37.0,3
658,459,461,23.0,3
659,459,476,30.0,3
660,460,462,6.0,3
661,461,489,6.0,3
662,462,463,72.0,3
663,466,467,21.0,3
664,466,468,68.0,3
665,467,469,22.0,3
666,467,484,43.0,3
667,471,489,25.0,3
668,473,474,22.0,3
669,473,475,28.0,3
670,474,491,12.0,3
671,475,489,70.0,3
672,476,477,45.0,3
673,477,490,21.0,3
674,478,480,72.0,3
675,478,481,18.0,3
676,480,482,9.0,3
677,480,483,39.0,3
678,482,484,41.0,3
679,483,487,24.0,3
680,484,486,48.0,3
681,484,485,90.0,3
682,486,487,20.0,3
683,493,494,48.0,3
684,494,495,23.0,3
685,498,538,29.0,3
686,498,536,20.0,3
687,499,500,38.0,3
688,499,501,59.0,3
689,501,538,57.0,3
690,501,539,23.0,3
691,343,504,30.0,3
692,505,506,19.0,3
693,507,509,12.0,3
694,507,511,34.0,3
695,508,509,17.0,3
696,509,545,27.0,3
697,510,511,17.0,3
698,511,512,8.0,3
699,514,515,19.0,3
700,514,516,21.0,3
701,517,541,29.0,3
702,518,519,30.0,3
703,518,520,27.0,3
704,519,521,26.0,3
705,524,525,12.0,3
706,524,525,108.0,3
707,524,526,65.0,3
708,531,532,23.0,3
709,532,533,32.0,3
710,533,538,22.0,3
711,533,539,59.0,3
712,535,536,38.0,3
713,536,537,28.0,3
714,539,540,21.0,3
